value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 31 32 33 0 35 36 37 38 39 40 17 42 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 2 3 4 5 6 7 8 9 10 11 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 31 32 33 0 35 36 37 38 39 40 17 42 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 2 3 4 45 6 7 8 9 10 11 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 31 32 33 0 35 36 37 38 39 40 17 42 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 2 3 4 45 6 7 8 9 10 11 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 27 32 33 0 35 36 37 38 39 40 17 42 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 2 3 4 45 6 7 8 9 10 17 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 27 32 33 0 35 36 37 38 39 40 17 42 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 2 3 4 45 6 7 8 9 10 17 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 27 32 33 0 35 36 37 38 39 40 17 45 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 2 3 4 45 6 7 8 9 10 17 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 27 32 33 0 35 27 37 38 39 40 17 45 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 2 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 27 32 33 0 35 27 37 38 39 40 17 45 43 44 45 46 47 48 49 
weight 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 4 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 27 32 33 0 35 27 37 38 39 40 17 45 43 44 45 46 47 48 49 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 2 1 1 4 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 18 24 20 21 22 23 24 25 26 27 8 29 30 27 45 33 0 35 27 37 38 39 40 17 45 43 44 45 46 47 48 49 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 2 1 1 4 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 18 24 20 16 22 23 24 25 26 27 8 29 30 27 45 33 0 35 27 37 38 39 40 17 45 43 44 45 46 47 48 49 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 2 1 2 4 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 22 23 24 25 26 27 8 29 30 27 45 33 0 35 27 37 38 39 40 17 45 43 44 45 46 47 48 49 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 2 1 2 4 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 22 23 24 25 26 27 8 29 30 27 45 33 0 35 27 37 38 39 40 17 45 43 44 45 46 26 48 49 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 2 1 2 4 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 22 23 24 25 26 27 8 29 30 27 45 33 0 35 27 37 16 39 40 17 45 43 44 45 46 26 48 49 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 2 1 3 4 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 22 23 14 25 26 27 8 29 30 27 45 33 0 35 27 37 16 39 40 17 45 43 44 45 46 26 48 49 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 4 1 3 4 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 22 23 14 25 26 27 8 29 30 27 45 33 0 35 27 37 16 39 40 17 45 43 44 45 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 4 1 3 5 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 3 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 22 23 14 25 26 27 8 29 30 27 45 33 0 44 27 37 16 39 40 17 45 43 44 45 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 4 1 3 5 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 22 23 14 25 26 27 8 29 30 27 45 33 0 44 27 37 16 39 40 17 45 43 44 45 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 4 1 3 7 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 33 23 14 25 26 27 8 29 30 27 45 33 0 44 27 37 16 39 40 17 45 43 44 45 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 4 1 3 7 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 33 14 14 25 26 27 8 29 30 27 45 33 0 44 27 37 16 39 40 17 45 43 44 45 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 5 1 3 7 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 5 1 1 1 1 

connect.
value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 33 14 14 25 26 27 8 29 30 27 45 33 0 44 27 37 16 39 40 17 45 43 44 17 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 5 1 3 12 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 7 8 9 10 17 14 13 14 15 16 17 45 24 20 16 33 14 14 25 44 27 8 29 30 27 45 33 0 44 27 37 16 39 40 17 45 43 44 17 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 5 1 3 12 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 4 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 14 8 9 10 17 14 13 14 15 16 17 45 24 20 16 33 14 14 25 44 27 8 29 30 27 45 33 0 44 27 37 16 39 40 17 45 43 44 17 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 1 1 1 1 1 6 1 3 12 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 4 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 14 8 9 10 17 14 13 14 15 16 17 45 24 20 16 33 14 14 25 44 27 8 29 30 27 45 33 0 44 27 9 16 39 40 17 45 43 44 17 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 2 1 1 1 1 6 1 3 12 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 4 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 14 8 9 10 17 14 13 17 15 16 17 45 24 20 16 33 14 14 25 44 27 8 29 30 27 45 33 0 44 27 9 16 39 40 17 45 43 44 17 46 26 48 17 
weight 2 1 1 2 1 1 1 1 2 2 1 1 1 1 6 1 3 18 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 4 5 1 1 1 1 

value  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
father 0 1 3 17 17 45 6 14 8 9 10 17 14 13 17 15 16 17 45 24 20 16 33 14 14 25 44 27 8 8 30 27 45 33 0 44 27 9 16 39 40 17 45 43 44 17 46 26 48 17 
weight 2 1 1 2 1 1 1 1 3 2 1 1 1 1 6 1 3 18 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 4 5 1 1 1 1 

